Job tenure,Age,Car price,Funding amount,Down payment,Loan duration,Monthly payment,Credit event,Married,Homeowner,Monthly payment to income ratio,Loan to car price ratio,Job tenure * Age,Job tenure * Monthly payment,Age * Monthly payment,Default (y),Pred_default (y_hat),PD,Group
23,85,10000,7500,0,36,0.151285930408472,0,1,0,2.0171457387793575e-05,0.749999999999925,1955,3.4795763993948556,12.859304084720119,0,0,0.027927253,1
9,34,19990,14190,0,60,0.121852970795569,0,1,0,8.587242480307288e-06,0.7098549274636964,306,1.096676737160121,4.143001007049346,0,0,0.00018030682,1
1,43,11079,11079,0,72,0.1023890784982935,0,1,1,9.241725651979804e-06,0.9999999999999097,43,0.1023890784982935,4.4027303754266205,0,0,0.000385044,0
10,51,18500,20378,0,72,0.09571428571428571,0,1,0,4.696942080394593e-06,1.101513513513454,510,0.9571428571428571,4.881428571428571,0,0,0.00017719534,1
5,41,12968,12968,0,48,0.1389277389277389,0,1,0,1.0713119904975955e-05,0.9999999999999228,205,0.6946386946386945,5.696037296037296,0,0,0.013449984,0
6,37,8990,8650,0,72,0.0421084519842472,0,0,0,4.868029131126281e-06,0.9621802002223623,222,0.2526507119054832,1.5580127234171466,0,0,0.0007518915,0
1,29,13990,11990,0,84,0.07347826086956522,0,0,0,6.1282953185620585e-06,0.8570407433880731,29,0.07347826086956522,2.1308695652173912,0,0,0.002037061,0
3,37,9990,8052,0,36,0.1205,0,1,0,1.4965226030797942e-05,0.8060060060059253,111,0.3615,4.4585,0,0,0.0034349912,0
8,25,5900,3315,1,48,0.018,0,1,0,5.4298642533920265e-06,0.5618644067795657,200,0.144,0.44999999999999996,0,0,0.0036633324,1
1,40,15990,14990,0,60,0.127141568981064,0,1,0,8.481759104806905e-06,0.9374609130706105,40,0.127141568981064,5.08566275924256,1,0,0.19979207,0
3,22,6600,2764,1,24,0.08571428571428572,0,0,0,3.101095720486784e-05,0.4187878787878153,66,0.2571428571428571,1.8857142857142857,0,0,0.00047618555,0
0,41,16379,15374,0,48,0.07770652583930593,1,0,0,5.054411723643871e-06,0.9386409426704354,0,0.0,3.185967559411543,1,1,0.997118,0
0,38,7750,6712,0,36,0.1164705882352941,0,0,0,1.7352590619081754e-05,0.8660645161289204,0,0.0,4.425882352941176,1,1,0.9925841,0
0,48,6090,6340,0,48,0.0746039856923863,0,1,0,1.1767190172298821e-05,1.0410509031196977,0,0.0,3.5809913132345423,1,1,0.9923515,0
6,28,20400,18900,0,60,0.1094444444444444,0,0,0,5.790711346266593e-06,0.9264705882352486,168,0.6566666666666664,3.064444444444443,0,0,0.004027096,0
0,45,16300,16300,0,72,0.06912696226934728,0,1,1,4.240917930634542e-06,0.9999999999999386,0,0.0,3.1107133021206277,0,0,0.008008936,0
4,51,7680,8897,0,72,0.0415625,0,1,0,4.671518489377917e-06,1.1584635416665157,204,0.16625,2.1196875,0,0,0.014645195,0
2,23,17990,19713,0,72,0.1776,0,0,0,9.009283214122203e-06,1.095775430794825,46,0.3552,4.0848,1,1,0.9857636,0
3,30,6012,6456,0,36,0.1727272727272727,0,0,0,2.6754534189474276e-05,1.0738522954090028,90,0.5181818181818181,5.181818181818181,0,0,0.0035951175,0
0,42,9990,11381,0,60,0.064,0,0,1,5.623407433441207e-06,1.139239239239125,0,0.0,2.688,0,0,0.0077632684,0
8,30,11375,11375,0,96,0.07823529411764706,0,0,1,6.877828054298037e-06,0.9999999999999121,240,0.6258823529411764,2.347058823529412,0,0,0.0045984667,0
26,52,10990,10890,0,96,0.02129443326626425,0,1,1,1.9554116865254634e-06,0.9909008189262064,1352,0.5536552649228705,1.107310529845741,0,0,0.4441915,1
4,34,13390,8615,0,48,0.07755102040816327,0,1,0,9.001859594678382e-06,0.6433905899924837,136,0.31020408163265306,2.636734693877551,0,0,0.00020045851,0
24,48,9490,10760,0,72,0.08,0,0,1,7.434944237917525e-06,1.133825079030439,1152,1.92,3.84,0,0,0.011176361,0
